"No","日時","操作","アイテム","数量","操作者","同盟ポイント"
1,"2025/01/09 05:40:45","預ける","サツマイモ",1000,"エルマス",240000
2,"2025/01/09 05:54:38","預ける","小麦粉",1680,"くまくん",16800
3,"2025/01/09 05:54:49","取り出す","小麦",1200,"くまくん",-1200
4,"2025/01/09 08:56:58","預ける","ジャガイモ",200,"ちひ",18000
5,"2025/01/09 08:58:49","取り出す","テンサイ",500,"iamy",-5000
6,"2025/01/09 08:58:59","預ける","コメ",500,"iamy",2500
7,"2025/01/09 08:59:08","預ける","大豆",150,"iamy",22500
8,"2025/01/09 08:59:16","預ける","ジャガイモ",200,"iamy",18000
9,"2025/01/09 08:59:22","預ける","ラズベリー",120,"iamy",50400
10,"2025/01/09 08:59:49","取り出す","ミルク",500,"iamy",-2000
11,"2025/01/09 09:00:10","取り出す","あんパン",100,"iamy",-37500
12,"2025/01/09 09:00:32","取り出す","抹茶タルト",20,"iamy",-19840
13,"2025/01/09 09:01:04","取り出す","チョコレートケーキ",50,"iamy",-43400
14,"2025/01/09 09:01:13","取り出す","シロップ",10,"iamy",-1400
15,"2025/01/09 09:01:21","取り出す","ベーコン",50,"iamy",-4000
16,"2025/01/09 09:01:38","取り出す","ココナッツケーキ",30,"iamy",-45450
17,"2025/01/09 09:01:53","取り出す","エッグタルト",50,"iamy",-80800
18,"2025/01/09 09:02:10","取り出す","プリンタルト",10,"iamy",-39000
19,"2025/01/09 09:03:21","取り出す","テンサイ",400,"ちひ",-4000
20,"2025/01/09 10:21:08","預ける","テンサイ",500,"マオマオ",5000
21,"2025/01/09 18:32:25","預ける","小麦粉",1000,"くまくん",10000
22,"2025/01/09 18:32:59","取り出す","あんパン",200,"くまくん",-75000
23,"2025/01/09 20:08:30","預ける","リンゴ",500,"エルド",60000
24,"2025/01/09 20:08:39","預ける","マンゴー",500,"エルド",200000
25,"2025/01/09 20:08:44","預ける","チェリー",500,"エルド",180000
26,"2025/01/09 20:09:05","取り出す","小麦",600,"エルド",-600
27,"2025/01/09 20:09:10","預ける","ジャガイモ",600,"エルド",54000
28,"2025/01/09 20:09:17","預ける","トマト",400,"エルド",48000
29,"2025/01/09 20:09:34","預ける","ミルク",1000,"エルド",4000
30,"2025/01/09 20:09:44","預ける","タマゴ",800,"エルド",7200
31,"2025/01/09 20:10:15","預ける","おもち",50,"エルド",2750
32,"2025/01/09 20:10:20","取り出す","おもち",50,"エルド",-2750
33,"2025/01/09 20:10:44","預ける","黒糖",150,"エルド",3000
34,"2025/01/09 20:10:48","取り出す","黒糖",150,"エルド",-3000
35,"2025/01/09 20:11:20","預ける","チーズ",111,"エルド",1332
36,"2025/01/09 20:11:25","取り出す","チーズ",111,"エルド",-1332
37,"2025/01/09 20:11:50","取り出す","あんパン",500,"エルド",-187500
38,"2025/01/09 20:12:47","預ける","ピンクシュガー",30,"エルド",1200
39,"2025/01/09 20:12:51","取り出す","ピンクシュガー",30,"エルド",-1200
40,"2025/01/09 21:44:45","預ける","黒糖",800,"ちひ",16000
41,"2025/01/09 21:45:06","取り出す","角砂糖",100,"ちひ",-7500
42,"2025/01/09 21:52:22","預ける","米粉",600,"くまくん",15000
43,"2025/01/09 23:20:37","取り出す","キャベツ",300,"ikanshi",-900
44,"2025/01/09 23:20:42","取り出す","コメ",300,"ikanshi",-1500
45,"2025/01/09 23:20:46","取り出す","小麦",600,"ikanshi",-600
46,"2025/01/09 23:22:03","取り出す","バター",135,"ikanshi",-5805
47,"2025/01/09 23:40:09","取り出す","バター",364,"ikanshi",-15652
