"No","日時","操作","アイテム","数量","操作者","同盟ポイント"
1,"2025/01/10 00:16:39","取り出す","クリーム",237,"ikanshi",-5688
2,"2025/01/10 06:16:10","預ける","米粉",1000,"くまくん",25000
3,"2025/01/10 06:16:16","預ける","小麦粉",1000,"くまくん",10000
4,"2025/01/10 06:20:35","取り出す","コメ",300,"くまくん",-1500
5,"2025/01/10 07:58:59","取り出す","テンサイ",500,"iamy",-5000
6,"2025/01/10 07:59:14","預ける","タマネギ",200,"iamy",3000
7,"2025/01/10 07:59:22","預ける","小麦",500,"iamy",500
8,"2025/01/10 07:59:33","預ける","大豆",100,"iamy",15000
9,"2025/01/10 07:59:42","預ける","ジャガイモ",400,"iamy",36000
10,"2025/01/10 07:59:50","預ける","ラズベリー",100,"iamy",42000
11,"2025/01/10 08:00:04","預ける","モモ",500,"iamy",150000
12,"2025/01/10 08:00:12","預ける","黒糖",1000,"iamy",20000
13,"2025/01/10 13:04:34","取り出す","ミルク",500,"iamy",-2000
14,"2025/01/10 13:05:09","預ける","ジャガイモ",150,"iamy",13500
15,"2025/01/10 18:24:51","預ける","キャラメル",100,"エルド",10000
16,"2025/01/10 18:24:56","取り出す","キャラメル",100,"エルド",-10000
17,"2025/01/10 18:25:18","預ける","クリーム",40,"エルド",960
18,"2025/01/10 18:25:22","取り出す","クリーム",40,"エルド",-960
19,"2025/01/10 18:25:33","預ける","ジャガイモ",800,"エルド",72000
20,"2025/01/10 18:25:49","預ける","リンゴ",550,"エルド",66000
21,"2025/01/10 18:25:52","預ける","洋ナシ",500,"エルド",100000
22,"2025/01/10 18:25:56","預ける","オレンジ",700,"エルド",126000
23,"2025/01/10 18:26:00","預ける","カカオ豆",500,"エルド",160000
24,"2025/01/10 18:26:39","取り出す","小麦",700,"エルド",-700
25,"2025/01/10 18:26:44","取り出す","キャベツ",500,"エルド",-1500
26,"2025/01/10 18:26:48","取り出す","コメ",300,"エルド",-1500
27,"2025/01/10 18:27:44","預ける","黒糖",150,"エルド",3000
28,"2025/01/10 18:27:48","預ける","ピンクシュガー",70,"エルド",2800
29,"2025/01/10 19:24:46","取り出す","ローストポテト",5,"ikanshi",-2250
30,"2025/01/10 19:25:06","取り出す","ばいせん茶葉",20,"ikanshi",-2400
31,"2025/01/10 19:25:23","取り出す","オニオンヌードル",10,"ikanshi",-1490
32,"2025/01/10 21:47:12","預ける","米粉",1000,"くまくん",25000
33,"2025/01/10 21:47:28","預ける","黒糖",1000,"くまくん",20000
34,"2025/01/10 21:47:43","預ける","チーズ",300,"くまくん",3600
35,"2025/01/10 23:09:36","預ける","タマネギ",100,"ちひ",1500
36,"2025/01/10 23:09:57","預ける","コーヒー豆",120,"ちひ",25200
37,"2025/01/10 23:15:52","取り出す","テンサイ",500,"ちひ",-5000
38,"2025/01/10 23:16:01","取り出す","小麦",300,"ちひ",-300
39,"2025/01/10 23:16:15","預ける","黒糖",500,"ちひ",10000
40,"2025/01/10 23:34:21","預ける","サツマイモ",1700,"エルマス",408000
41,"2025/01/10 23:34:28","預ける","ニンジン",200,"エルマス",72000
42,"2025/01/10 23:34:35","預ける","ラズベリー",100,"エルマス",42000
43,"2025/01/10 23:34:45","取り出す","コメ",500,"エルマス",-2500
44,"2025/01/10 23:34:55","取り出す","コショウ",200,"エルマス",-12000
45,"2025/01/10 23:35:04","取り出す","バター",200,"エルマス",-8600
